figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,backdoor,0.1,10.0,mta,0.88,88.0,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,backdoor,0.2,20.0,asr,0.5116,51.16,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,backdoor,0.2,20.0,mta,0.8811,88.11,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,backdoor,0.3,30.0,asr,0.513,51.30,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,backdoor,0.3,30.0,mta,0.8803,88.03,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,backdoor,0.1,10.0,asr,0.2759,27.59,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,backdoor,0.1,10.0,mta,0.8786,87.86,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,backdoor,0.2,20.0,asr,0.2693,26.93,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,backdoor,0.2,20.0,mta,0.7169,71.69,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,backdoor,0.3,30.0,asr,0.2818,28.18,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,backdoor,0.3,30.0,mta,0.8741,87.41,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.1,10.0,asr,0.1425,14.25,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.1,10.0,mta,0.8589,85.89,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.2,20.0,asr,0.1434,14.34,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.2,20.0,mta,0.8562,85.61999999999999,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.3,30.0,asr,0.1442,14.42,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.3,30.0,mta,0.8623,86.23,1,1,
